project_id,project_name,web_url,video_id,auto_label,manual_label,manual_relevance_raw,manual_noise_type,stats_play_count,label_changed
7,中国珠算,https://www.tiktok.com/@superznalaczupanja/video/7593805998314261782,7593805998314261782,low_relevance,low_relevance,不相关,主题无关,22600000,False
7,中国珠算,https://www.tiktok.com/@superclever_oesterreich/video/7312854328321035552,7312854328321035552,likely_relevant,low_relevance,不相关,主题无关,18100000,True
8,福建木偶戏,https://www.tiktok.com/@goodlivinginchina/video/7614505628744043832,7614505628744043832,likely_relevant,likely_relevant,相关,,425900,False
8,福建木偶戏,https://www.tiktok.com/@vamosjuntasmx/video/7521564277711424775,7521564277711424775,likely_relevant,low_relevance,不相关,主题无关,85100,True
8,福建木偶戏,https://www.tiktok.com/@goodlivinginchina/video/7614505628744043832,7614505628744043832,needs_review,likely_relevant,相关,,425900,True
8,福建木偶戏,https://www.tiktok.com/@mongthientruong/video/7453770690328710446,7453770690328710446,likely_relevant,low_relevance,不相关,主题无关,761500,True
8,福建木偶戏,https://www.tiktok.com/@shuyam612/video/7633812852440059154,7633812852440059154,low_relevance,low_relevance,不相关,主题无关,13500000,False
8,福建木偶戏,https://www.tiktok.com/@kingmedia1111/video/7215858068993723690,7215858068993723690,needs_review,low_relevance,不相关,主题无关,12500000,True
8,福建木偶戏,https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,7646044803981004050,low_relevance,low_relevance,不相关,主题无关,62900000,False
8,福建木偶戏,https://www.tiktok.com/@plzboomwo/video/7568431834766249247,7568431834766249247,low_relevance,low_relevance,不相关,主题无关,45500000,False
8,福建木偶戏,https://www.tiktok.com/@pizza.55555/video/7496793604933946679,7496793604933946679,needs_review,low_relevance,不相关,主题无关,28200000,True
8,福建木偶戏,https://www.tiktok.com/@amayawickramasinghe/video/7445575459678571794,7445575459678571794,low_relevance,low_relevance,不相关,主题无关,20500000,False
8,福建木偶戏,https://www.tiktok.com/@ngthanhquan3/video/7627001351553273109,7627001351553273109,needs_review,low_relevance,不相关,主题无关,3700000,True
8,福建木偶戏,https://www.tiktok.com/@goodlivinginchina/video/7614505628744043832,7614505628744043832,needs_review,likely_relevant,相关,,425900,True
8,福建木偶戏,https://www.tiktok.com/@holalmar/video/7543242322788519186,7543242322788519186,low_relevance,low_relevance,不相关,别国同类,39500000,False
9,赫哲族伊玛堪,https://www.tiktok.com/@user8513083442827/video/7633736301002362119,7633736301002362119,low_relevance,low_relevance,不相关,主题无关,19900000,False
9,赫哲族伊玛堪,https://www.tiktok.com/@realbeijinger/video/7550190555490225439,7550190555490225439,needs_review,low_relevance,不相关,主题无关,677500,True
9,赫哲族伊玛堪,https://www.tiktok.com/@naivepanda/video/7298030733258394911,7298030733258394911,needs_review,low_relevance,不相关,主题无关,2000000,True
9,赫哲族伊玛堪,https://www.tiktok.com/@kdovvtbgjn3/video/7317611162672041221,7317611162672041221,low_relevance,low_relevance,不相关,主题无关,11900000,False
9,赫哲族伊玛堪,https://www.tiktok.com/@makabaka_popcorn/video/7389602651085884702,7389602651085884702,low_relevance,low_relevance,不相关,主题无关,18200000,False
9,赫哲族伊玛堪,https://www.tiktok.com/@mayilong0/video/7166206744530570497,7166206744530570497,low_relevance,low_relevance,不相关,主题无关,22000000,False
9,赫哲族伊玛堪,https://www.tiktok.com/@khoatngutram/video/7450114188862688530,7450114188862688530,likely_relevant,low_relevance,不相关,主题无关,1200000,True
9,赫哲族伊玛堪,https://www.tiktok.com/@zhezhehe/video/7264511179328867602,7264511179328867602,likely_relevant,low_relevance,不相关,主题无关,2300000,True
9,赫哲族伊玛堪,https://www.tiktok.com/@zhezhehe/video/7572567790519897364,7572567790519897364,likely_relevant,low_relevance,不相关,主题无关,3800000,True
9,赫哲族伊玛堪,https://www.tiktok.com/@chi_kun82/video/7589061348617768200,7589061348617768200,low_relevance,low_relevance,不相关,主题无关,11400000,False
10,中国皮影戏,https://www.tiktok.com/@pandatalk_/video/7017719800428285185,7017719800428285185,likely_relevant,likely_relevant,相关,,3300000,False
10,中国皮影戏,https://www.tiktok.com/@user3081810966148/video/7563897776203910407,7563897776203910407,likely_relevant,likely_relevant,相关,,2600000,False
10,中国皮影戏,https://www.tiktok.com/@folkart.china/video/7559080211912969493,7559080211912969493,needs_review,low_relevance,不相关,主题无关,12100000,True
10,中国皮影戏,https://www.tiktok.com/@chipotle_teatro/video/7145257021724544261,7145257021724544261,needs_review,likely_relevant,相关,,1300000,True
10,中国皮影戏,https://www.tiktok.com/@user3081810966148/video/7563897776203910407,7563897776203910407,likely_relevant,likely_relevant,相关,,2600000,False
10,中国皮影戏,https://www.tiktok.com/@chipotle_teatro/video/7145257021724544261,7145257021724544261,likely_relevant,likely_relevant,相关,,1300000,False
10,中国皮影戏,https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,7646044803981004050,low_relevance,low_relevance,不相关,主题无关,62900000,False
10,中国皮影戏,https://www.tiktok.com/@plzboomwo/video/7568431834766249247,7568431834766249247,low_relevance,low_relevance,不相关,主题无关,45500000,False
10,中国皮影戏,https://www.tiktok.com/@pizza.55555/video/7496793604933946679,7496793604933946679,needs_review,low_relevance,不相关,主题无关,28200000,True
10,中国皮影戏,https://www.tiktok.com/@harpermovies1/video/7616709033940094239,7616709033940094239,low_relevance,low_relevance,不相关,主题无关,39100000,False
10,中国皮影戏,https://www.tiktok.com/@amayawickramasinghe/video/7445575459678571794,7445575459678571794,low_relevance,low_relevance,不相关,主题无关,20500000,False
10,中国皮影戏,https://www.tiktok.com/@user3081810966148/video/7563897776203910407,7563897776203910407,likely_relevant,likely_relevant,相关,,2600000,False
10,中国皮影戏,https://www.tiktok.com/@sastisfactory_/video/7337371717049879813,7337371717049879813,low_relevance,low_relevance,不相关,主题无关,38200000,False
10,中国皮影戏,https://www.tiktok.com/@kissyd0lly/video/7363340399005420832,7363340399005420832,low_relevance,low_relevance,不相关,主题无关,49500000,False
11,麦西热甫,https://www.tiktok.com/@namewee/video/7393933844677790997,7393933844677790997,needs_review,low_relevance,不相关,主题无关,928100,True
11,麦西热甫,https://www.tiktok.com/@geluteer/video/7602517143514516791,7602517143514516791,low_relevance,low_relevance,不相关,主题无关,36100000,False
11,麦西热甫,https://www.tiktok.com/@xastorevietnam/video/7618459287039479061,7618459287039479061,low_relevance,low_relevance,不相关,主题无关,49000000,False
11,麦西热甫,https://www.tiktok.com/@alecanewman/video/7245102520836689194,7245102520836689194,low_relevance,low_relevance,不相关,主题无关,36200000,False
11,麦西热甫,https://www.tiktok.com/@yuji_beleza/video/7515401417339702550,7515401417339702550,likely_relevant,low_relevance,不相关,主题无关,66700000,True
11,麦西热甫,https://www.tiktok.com/@uyghuryouth/video/7326146340507995424,7326146340507995424,likely_relevant,low_relevance,不相关,主题无关,7600000,True
11,麦西热甫,https://www.tiktok.com/@gulomjon00771/video/7596650322190142742,7596650322190142742,likely_relevant,low_relevance,不相关,主题无关,4600000,True
11,麦西热甫,https://www.tiktok.com/@joeyyyds666/video/7539622309439589654,7539622309439589654,likely_relevant,low_relevance,不相关,主题无关,1000000,True
11,麦西热甫,https://www.tiktok.com/@annabewla/video/6874186416834776322,6874186416834776322,likely_relevant,low_relevance,不相关,主题无关,4600000,True
11,麦西热甫,https://www.tiktok.com/@uyghurs_voice/video/7377768102718737670,7377768102718737670,needs_review,low_relevance,不相关,主题无关,440600,True
12,中国水密隔舱福船制造技艺,https://www.tiktok.com/@usersq30uhvr2n/video/7630717425851305224,7630717425851305224,needs_review,low_relevance,不相关,主题无关,709800,True
12,中国水密隔舱福船制造技艺,https://www.tiktok.com/@junkiebffs/video/7132859667633442054,7132859667633442054,needs_review,low_relevance,不相关,主题无关,4200000,True
12,中国水密隔舱福船制造技艺,https://www.tiktok.com/@junkyyj/video/7618084140725849374,7618084140725849374,likely_relevant,low_relevance,不相关,主题无关,26100000,True
12,中国水密隔舱福船制造技艺,https://www.tiktok.com/@junkyyj/video/7555028481403309325,7555028481403309325,likely_relevant,low_relevance,不相关,主题无关,48200000,True
12,中国水密隔舱福船制造技艺,https://www.tiktok.com/@junkyyj/video/7610309549228068126,7610309549228068126,likely_relevant,low_relevance,不相关,主题无关,21100000,True
12,中国水密隔舱福船制造技艺,https://www.tiktok.com/@junkyyj/video/7538672680468270391,7538672680468270391,likely_relevant,low_relevance,不相关,主题无关,23500000,True
12,中国水密隔舱福船制造技艺,https://www.tiktok.com/@jungkook/video/7631324009992326420,7631324009992326420,low_relevance,low_relevance,不相关,主题无关,71000000,False
12,中国水密隔舱福船制造技艺,https://www.tiktok.com/@jungkook/video/7621738760065060117,7621738760065060117,low_relevance,low_relevance,不相关,主题无关,82900000,False
12,中国水密隔舱福船制造技艺,https://www.tiktok.com/@jungkook/video/7620981615036255509,7620981615036255509,low_relevance,low_relevance,不相关,主题无关,88500000,False
13,中国木活字印刷术,https://www.tiktok.com/@xiedapao88/video/7404039857405742344,7404039857405742344,likely_relevant,likely_relevant,相关,,47700000,False
13,中国木活字印刷术,https://www.tiktok.com/@xiaomijiao2/video/7487608886388706590,7487608886388706590,needs_review,likely_relevant,相关,,12800000,True
13,中国木活字印刷术,https://www.tiktok.com/@shoubkbr7m9/video/7461817575417122053,7461817575417122053,needs_review,needs_review,拿不准,同类,5400000,False
13,中国木活字印刷术,https://www.tiktok.com/@ishalcncwoodart_official/video/7591831028256296195,7591831028256296195,low_relevance,low_relevance,不相关,,83300000,False
13,中国木活字印刷术,https://www.tiktok.com/@xiaomijiao2/video/7487608886388706590,7487608886388706590,likely_relevant,likely_relevant,相关,,12800000,False
13,中国木活字印刷术,https://www.tiktok.com/@xiedapao88/video/7404039857405742344,7404039857405742344,likely_relevant,likely_relevant,相关,,47700000,False
13,中国木活字印刷术,https://www.tiktok.com/@laurierlachance/video/7123446540550688006,7123446540550688006,needs_review,low_relevance,不相关,蹭热门标签,923000,True
13,中国木活字印刷术,https://www.tiktok.com/@xiedapao88/video/7404039857405742344,7404039857405742344,likely_relevant,likely_relevant,相关,,47700000,False
13,中国木活字印刷术,https://www.tiktok.com/@unesco/video/7426288193546259744,7426288193546259744,likely_relevant,likely_relevant,相关,,32700000,False
13,中国木活字印刷术,https://www.tiktok.com/@explore.china6/video/7322759248818081055,7322759248818081055,low_relevance,likely_relevant,相关,,24400000,True
13,中国木活字印刷术,https://www.tiktok.com/@lapopitafit/video/7618304022067383574,7618304022067383574,low_relevance,low_relevance,不相关,主题无关,23900000,False
