project_id,project_name,project_name_en,list_type,category,hashtag_terms_total,terms_clean,terms_noisy,terms_unavailable_or_failed,scale_data_state,scale_video_count_best,scale_video_count_tier,scale_best_hashtag,scale_best_challenge_id,scale_best_challenge_title,scale_video_count_median_usable,scale_video_count_max_clean,scale_video_count_max_noisy,usable_terms,unavailable_terms,scale_note
26,格萨(斯)尔史诗传统,Gesar epic tradition,RL,口头传统/史诗,5,5,0,0,clean,227,near_invisible,gesar,23810729,gesar,2,227,,"[{""tag"": ""gesar"", ""status"": ""clean"", ""video_count"": 227, ""challenge_id"": ""23810729""}, {""tag"": ""kinggesar"", ""status"": ""clean"", ""video_count"": 50, ""challenge_id"": ""1686654889361409""}, {""tag"": ""epicofgesar"", ""status"": ""clean"", ""video_count"": 2, ""challenge_id"": ""7639020992932937748""}, {""tag"": ""格萨尔"", ""status"": ""clean"", ""video_count"": 1, ""challenge_id"": ""7136944909818265626""}, {""tag"": ""tibetanepic"", ""status"": ""clean"", ""video_count"": 0, ""challenge_id"": ""7533135084032163860""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
27,龙泉青瓷传统烧制技艺,Traditional firing technology of Longquan celadon,RL,传统手工艺,1,1,0,0,clean,657,near_invisible,longquanceladon,1670841724119045,longquanceladon,657,657,,"[{""tag"": ""longquanceladon"", ""status"": ""clean"", ""video_count"": 657, ""challenge_id"": ""1670841724119045""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
28,热贡艺术,Regong arts,RL,传统手工艺/宗教艺术,2,2,0,0,clean,37,near_invisible,regong,7086743701304639515,regong,23,37,,"[{""tag"": ""热贡"", ""status"": ""clean"", ""video_count"": 10, ""challenge_id"": ""7284877872928882690""}, {""tag"": ""regong"", ""status"": ""clean"", ""video_count"": 37, ""challenge_id"": ""7086743701304639515""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
29,藏戏,Xizang opera,RL,表演艺术(戏曲),4,4,0,0,clean,808,near_invisible,lhamo,13734268,lhamo,17,808,,"[{""tag"": ""tibetanopera"", ""status"": ""clean"", ""video_count"": 25, ""challenge_id"": ""1675472515205126""}, {""tag"": ""lhamo"", ""status"": ""clean"", ""video_count"": 808, ""challenge_id"": ""13734268""}, {""tag"": ""achelhamo"", ""status"": ""clean"", ""video_count"": 5, ""challenge_id"": ""7162930592879443995""}, {""tag"": ""藏戏"", ""status"": ""clean"", ""video_count"": 9, ""challenge_id"": ""7157138837089746950""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
30,玛纳斯,Manas,RL,口头传统/史诗,2,2,0,0,clean,103875,head,manas,781697,manas,51939,103875,,"[{""tag"": ""manas"", ""status"": ""clean"", ""video_count"": 103875, ""challenge_id"": ""781697""}, {""tag"": ""玛纳斯"", ""status"": ""clean"", ""video_count"": 3, ""challenge_id"": ""7097100364779880494""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
31,蒙古族呼麦,"Mongolian art of singing, Khoomei",RL,表演艺术(音乐),5,3,1,1,clean,902,near_invisible,khoomei,1617754482966529,khoomei,433,902,3489,"[{""tag"": ""hoomei"", ""status"": ""clean"", ""video_count"": 433, ""challenge_id"": ""1643803873134598""}, {""tag"": ""khoomei"", ""status"": ""clean"", ""video_count"": 902, ""challenge_id"": ""1617754482966529""}, {""tag"": ""呼麦"", ""status"": ""clean"", ""video_count"": 82, ""challenge_id"": ""72801229""}, {""tag"": ""mongolianthroatsinging"", ""status"": ""noisy"", ""video_count"": 3489, ""challenge_id"": ""1621686378554374""}]","[""höömii""]","hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
32,花儿,Hua'er,RL,表演艺术(民歌),2,1,0,1,clean,166,near_invisible,huaer,1654604867075094,huaer,166,166,,"[{""tag"": ""huaer"", ""status"": ""clean"", ""video_count"": 166, ""challenge_id"": ""1654604867075094""}]","[""northwestchinasong""]","hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
33,中国朝鲜族农乐舞,Farmers' dance of China's Korean ethnic group,RL,表演艺术(舞蹈),4,3,0,1,clean,41,near_invisible,nongak,7111753587746668549,nongak,19,41,,"[{""tag"": ""nongak"", ""status"": ""clean"", ""video_count"": 41, ""challenge_id"": ""7111753587746668549""}, {""tag"": ""farmersdance"", ""status"": ""clean"", ""video_count"": 19, ""challenge_id"": ""1661986399885317""}, {""tag"": ""koreanchinesedance"", ""status"": ""clean"", ""video_count"": 0, ""challenge_id"": ""7589233016686247944""}]","[""农乐舞""]","hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
34,中国书法,Chinese calligraphy,RL,传统手工艺/视觉艺术,3,2,1,0,clean,1715067,head,calligraphy,729631,calligraphy,858771,1715067,34445,"[{""tag"": ""calligraphy"", ""status"": ""clean"", ""video_count"": 1715067, ""challenge_id"": ""729631""}, {""tag"": ""shufa"", ""status"": ""clean"", ""video_count"": 2475, ""challenge_id"": ""3560470""}, {""tag"": ""书法"", ""status"": ""noisy"", ""video_count"": 34445, ""challenge_id"": ""14632182""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
35,中国篆刻,Art of Chinese seal engraving,RL,传统手工艺,3,3,0,0,clean,2885,long_tail,篆刻,82346784,篆刻,1205,2885,,"[{""tag"": ""sealcarving"", ""status"": ""clean"", ""video_count"": 1205, ""challenge_id"": ""1667667042763781""}, {""tag"": ""chineseseal"", ""status"": ""clean"", ""video_count"": 331, ""challenge_id"": ""1625792755301378""}, {""tag"": ""篆刻"", ""status"": ""clean"", ""video_count"": 2885, ""challenge_id"": ""82346784""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
36,中国剪纸,Chinese paper-cut,RL,传统手工艺,3,2,1,0,clean,28432,mid,papercutting,9227684,papercutting,14557,28432,1976,"[{""tag"": ""chinesepapercut"", ""status"": ""clean"", ""video_count"": 683, ""challenge_id"": ""1691182735638533""}, {""tag"": ""papercutting"", ""status"": ""clean"", ""video_count"": 28432, ""challenge_id"": ""9227684""}, {""tag"": ""剪纸"", ""status"": ""noisy"", ""video_count"": 1976, ""challenge_id"": ""78574333""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
37,中国传统木结构建筑营造技艺,Chinese traditional architectural craftsmanship for timber-framed structures,RL,传统手工艺/建筑,2,2,0,0,clean,16173,mid,timberframe,1629199774957573,timberframe,8105,16173,,"[{""tag"": ""斗拱"", ""status"": ""clean"", ""video_count"": 37, ""challenge_id"": ""7078962527668797445""}, {""tag"": ""timberframe"", ""status"": ""clean"", ""video_count"": 16173, ""challenge_id"": ""1629199774957573""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
38,端午节,Dragon Boat festival,RL,节庆民俗,5,3,2,0,clean,8891,long_tail,端午节,68111805,端午节,4237,8891,45397,"[{""tag"": ""端午节"", ""status"": ""clean"", ""video_count"": 8891, ""challenge_id"": ""68111805""}, {""tag"": ""duanwu"", ""status"": ""clean"", ""video_count"": 3360, ""challenge_id"": ""1670481639433222""}, {""tag"": ""端午"", ""status"": ""clean"", ""video_count"": 4237, ""challenge_id"": ""68114324""}, {""tag"": ""dragonboat"", ""status"": ""noisy"", ""video_count"": 45397, ""challenge_id"": ""8017902""}, {""tag"": ""zongzi"", ""status"": ""noisy"", ""video_count"": 4943, ""challenge_id"": ""25519881""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
39,妈祖信俗,Mazu belief and customs,RL,民俗信仰,2,2,0,0,clean,13995,mid,mazu,5974011,mazu,11380,13995,,"[{""tag"": ""妈祖"", ""status"": ""clean"", ""video_count"": 8765, ""challenge_id"": ""1579949964957709""}, {""tag"": ""mazu"", ""status"": ""clean"", ""video_count"": 13995, ""challenge_id"": ""5974011""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
40,中国雕版印刷技艺,China engraved block printing technique,RL,传统手工艺,2,2,0,0,clean,31993,mid,blockprinting,83894619,blockprinting,16002,31993,,"[{""tag"": ""雕版印刷"", ""status"": ""clean"", ""video_count"": 11, ""challenge_id"": ""7157557310737350682""}, {""tag"": ""blockprinting"", ""status"": ""clean"", ""video_count"": 31993, ""challenge_id"": ""83894619""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
41,昆曲,Kun Qu opera,RL,表演艺术(戏曲),4,4,0,0,clean,844,near_invisible,昆曲,76086458,昆曲,206,844,,"[{""tag"": ""昆曲"", ""status"": ""clean"", ""video_count"": 844, ""challenge_id"": ""76086458""}, {""tag"": ""kunqu"", ""status"": ""clean"", ""video_count"": 271, ""challenge_id"": ""1665602538311686""}, {""tag"": ""kunopera"", ""status"": ""clean"", ""video_count"": 21, ""challenge_id"": ""1693683341277185""}, {""tag"": ""kunquopera"", ""status"": ""clean"", ""video_count"": 142, ""challenge_id"": ""1693725484395526""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
42,古琴艺术,Guqin and its music,RL,表演艺术(音乐),2,2,0,0,clean,9346,long_tail,guqin,1602530414236678,guqin,7298,9346,,"[{""tag"": ""古琴"", ""status"": ""clean"", ""video_count"": 5251, ""challenge_id"": ""66081321""}, {""tag"": ""guqin"", ""status"": ""clean"", ""video_count"": 9346, ""challenge_id"": ""1602530414236678""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
43,新疆维吾尔木卡姆艺术,Uyghur Muqam of Xinjiang,RL,表演艺术(音乐),3,3,0,0,clean,7108,long_tail,muqam,1609857053030406,muqam,6,7108,,"[{""tag"": ""uyghurmuqam"", ""status"": ""clean"", ""video_count"": 3, ""challenge_id"": ""7292471029408235525""}, {""tag"": ""木卡姆"", ""status"": ""clean"", ""video_count"": 6, ""challenge_id"": ""7477495228283387922""}, {""tag"": ""muqam"", ""status"": ""clean"", ""video_count"": 7108, ""challenge_id"": ""1609857053030406""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
44,蒙古族长调民歌,"Urtiin Duu, traditional folk long song",RL,表演艺术(音乐),2,1,1,0,clean,21,near_invisible,urtiinduu,7227235737232637958,urtiinduu,21,21,11,"[{""tag"": ""urtiinduu"", ""status"": ""clean"", ""video_count"": 21, ""challenge_id"": ""7227235737232637958""}, {""tag"": ""长调"", ""status"": ""noisy"", ""video_count"": 11, ""challenge_id"": ""7226930123704893445""}]",[],"hashtag statsV2 videoCount is stock/scale with noise, not reach or final spread verdict"
