sample_id,project_id,project_name,no_china_signal_unique_ratio,no_china_signal_play_ratio_rowlabel,video_id,url,play_count,source_term,author_handle,caption,hashtags,hashtags_text,quality_label,quality_score,quality_reasons,china_context_hit,china_context_terms,has_cjk_desc,manual_label_relevant_irrelevant_uncertain,manual_false_negative_if_relevant,manual_notes
CS-27-03,27,龙泉青瓷传统烧制技艺,0.5863,0.2547,7602608286906469646,https://www.tiktok.com/@hudddjd/video/7602608286906469646,3100000,celadon,hudddjd,"Celadon, carved lacquerware, and cloisonné enamel#craftsman#handmade #fyp #rurallife #handwork  ","[""craftsman"", ""handmade"", ""fyp"", ""rurallife"", ""handwork""]","[""fyp"", ""rurallife"", ""handwork""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-27-04,27,龙泉青瓷传统烧制技艺,0.5863,0.2547,7433579261400861982,https://www.tiktok.com/@celadoncat/video/7433579261400861982,2700000,celadon,celadoncat,DANDADAN OPENING-PIKMIN VERSION #dandadan #okarun #momo #pikmin #fyp #trending ,"[""dandadan"", ""okarun"", ""momo"", ""pikmin"", ""fyp"", ""trending""]","[""dandadan"", ""okarun"", ""momo"", ""pikmin"", ""fyp"", ""trending""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-27-05,27,龙泉青瓷传统烧制技艺,0.5863,0.2547,6943759371809705222,https://www.tiktok.com/@your.mom.is.h0t.af/video/6943759371809705222,1700000,celadon,your.mom.is.h0t.af,Rare colors you've never heard of😍| Celadon edition🍵| #celadon#aesthetic#firstvideo,"[""celadon"", ""aesthetic"", ""firstvideo""]","[""celadon#aesthetic#firstvideo""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-27-06,27,龙泉青瓷传统烧制技艺,0.5863,0.2547,7531248610126662925,https://www.tiktok.com/@vveryunlucky/video/7531248610126662925,1600000,celadon,vveryunlucky,"🪽🎀 90$ COMMISSION!! BY: @CeladonVA ~  Revelation 5:12 In a loud voice they were saying: “Worthy is the Lamb, who was slain, to receive power and wealth and wisdom and strength and honor and glory and praise!” || #CELADON #celadon #🪽 #VA #COMMISSION #comissionsopen #art #PINK #art #procreate #fyp #4upage #foryou #artbusiness #artist #commissions #commissionartist #4u #☁️🌈 #🍬🐟 #vveryunlucky #🍬v🍬v🍬e🍬r🍬y🍬u🍬n🍬l🍬u🍬c🍬k🍬y🍬 ","[""celadon"", ""va"", ""commission"", ""comissionsopen"", ""art"", ""pink"", ""procreate"", ""fyp"", ""4upage"", ""foryou"", ""artbusiness"", ""artist"", ""commissions"", ""commissionartist"", ""4u"", ""☁️🌈"", ""🍬🐟"", ""vveryunlucky"", ""🍬v🍬v🍬e🍬r🍬y🍬u🍬n🍬l🍬u🍬c🍬k🍬y🍬""]","[""CELADON"", ""celadon"", ""🪽"", ""VA"", ""COMMISSION"", ""comissionsopen"", ""art"", ""PINK"", ""procreate"", ""fyp"", ""4upage"", ""foryou"", ""artbusiness"", ""artist"", ""commissions"", ""commissionartist"", ""4u"", ""☁️🌈"", ""🍬🐟"", ""vveryunlucky"", ""🍬v🍬v🍬e🍬r🍬y🍬u🍬n🍬l🍬u🍬c🍬k🍬y🍬""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-27-07,27,龙泉青瓷传统烧制技艺,0.5863,0.2547,7623925813171211534,https://www.tiktok.com/@haileys._.comet/video/7623925813171211534,1500000,celadon,haileys._.comet,Celadon- a soft muted jade color with gray or blue undertones  #celadon #2000s #colortrend #interiordesign #nostalgia ,"[""celadon"", ""2000s"", ""colortrend"", ""interiordesign"", ""nostalgia""]","[""celadon"", ""2000s"", ""colortrend"", ""interiordesign"", ""nostalgia""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-27-08,27,龙泉青瓷传统烧制技艺,0.5863,0.2547,7634485050884508958,https://www.tiktok.com/@graypgxftz1/video/7634485050884508958,1100000,longquanceladon,graypgxftz1,"This channel is dedicated to one thing: capturing through videos and sounds the art of Longquan celadon with ice crackle -a thousand-year-old intangible cultural heritage, a living art that still ""sings"" after being fired.",[],[],likely_relevant,6,"[""source_hit"", ""project_term_hits:2"", ""core_term_hits:2""]",False,[],False,,,
CS-27-09,27,龙泉青瓷传统烧制技艺,0.5863,0.2547,7429420614483528991,https://www.tiktok.com/@miniartzone/video/7429420614483528991,861000,celadon,miniartzone,Let's Make Cascade Color 😍  . . #colormixing #artvideo #colors #celadon #lilac #paintmixing #mixing #reels #foryou #art #relexing ,"[""colormixing"", ""artvideo"", ""colors"", ""celadon"", ""lilac"", ""paintmixing"", ""mixing"", ""reels"", ""foryou"", ""art"", ""relexing""]","[""colormixing"", ""artvideo"", ""colors"", ""celadon"", ""lilac"", ""paintmixing"", ""mixing"", ""reels"", ""foryou"", ""art"", ""relexing""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-27-10,27,龙泉青瓷传统烧制技艺,0.5863,0.2547,7563444568453025037,https://www.tiktok.com/@celadonva/video/7563444568453025037,746200,celadon,celadonva,because you need weighted blankets when you sleep ):  yandere girlfriend breaks your legs to stop you from getting drafted asmr  #voiceover #asmr #yandere #voiceacting #xyzbca ,"[""voiceover"", ""asmr"", ""yandere"", ""voiceacting"", ""xyzbca""]","[""voiceover"", ""asmr"", ""yandere"", ""voiceacting"", ""xyzbca""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-31-01,31,蒙古族呼麦,0.5802,0.6227,7544518597226401037,https://www.tiktok.com/@erklen/video/7544518597226401037,81000000,throat singing,erklen,throat singing chicken 2  #throatsinging #throatsing #mongolianthroatsinging #erklen #berkleecollegeofmusic ,"[""throatsinging"", ""throatsing"", ""mongolianthroatsinging"", ""erklen"", ""berkleecollegeofmusic""]","[""throatsinging"", ""throatsing"", ""mongolianthroatsinging"", ""erklen"", ""berkleecollegeofmusic""]",likely_relevant,2,"[""source_hit"", ""project_term_hits:2"", ""negative_term_hits:1"", ""manual_override:needs_review->likely_relevant""]",False,[],False,,,
CS-31-02,31,蒙古族呼麦,0.5802,0.6227,7556654545070230798,https://www.tiktok.com/@erklen/video/7556654545070230798,47800000,throat singing,erklen,throat singing chicken 4  #throatsinging #throatsing #mongolianthroatsinging #erklen #berkleecollegeofmusic ,"[""throatsinging"", ""throatsing"", ""mongolianthroatsinging"", ""erklen"", ""berkleecollegeofmusic""]","[""throatsinging"", ""throatsing"", ""mongolianthroatsinging"", ""erklen"", ""berkleecollegeofmusic""]",likely_relevant,2,"[""source_hit"", ""project_term_hits:2"", ""negative_term_hits:1"", ""manual_override:needs_review->likely_relevant""]",False,[],False,,,
CS-31-03,31,蒙古族呼麦,0.5802,0.6227,7522002205973548302,https://www.tiktok.com/@erklen/video/7522002205973548302,36000000,throat singing,erklen,day 1 to 1 year in Mongolia 🇲🇳  #throatsinging #throatsing #throatrap #berklee #mongolianthroatsinging #morinkhuur #jawharp #mongolian #mongolianlife #slipknotduality  #tovshuur #mongolianinstrument #mongolian,"[""throatsinging"", ""throatsing"", ""throatrap"", ""berklee"", ""mongolianthroatsinging"", ""morinkhuur"", ""jawharp"", ""mongolian"", ""mongolianlife"", ""slipknotduality"", ""tovshuur"", ""mongolianinstrument""]","[""throatsinging"", ""throatsing"", ""throatrap"", ""berklee"", ""mongolianthroatsinging"", ""morinkhuur"", ""jawharp"", ""mongolian"", ""mongolianlife"", ""slipknotduality"", ""tovshuur"", ""mongolianinstrument""]",likely_relevant,2,"[""source_hit"", ""project_term_hits:2"", ""negative_term_hits:1"", ""manual_override:needs_review->likely_relevant""]",False,[],False,,,
CS-31-04,31,蒙古族呼麦,0.5802,0.6227,7523615147873651981,https://www.tiktok.com/@erklen/video/7523615147873651981,9600000,khoomei,erklen,throat singing car  #throatsinging #throatsing #throatrap #kargyraa #morinkhuur #jawharp #mongolian #tovshuur #mongolianinstrument #khoomei #hoomii #overtonesinging #viralmusic #berklee #erklen ,"[""throatsinging"", ""throatsing"", ""throatrap"", ""kargyraa"", ""morinkhuur"", ""jawharp"", ""mongolian"", ""tovshuur"", ""mongolianinstrument"", ""khoomei"", ""hoomii"", ""overtonesinging"", ""viralmusic"", ""berklee"", ""erklen""]","[""throatsinging"", ""throatsing"", ""throatrap"", ""kargyraa"", ""morinkhuur"", ""jawharp"", ""mongolian"", ""tovshuur"", ""mongolianinstrument"", ""khoomei"", ""hoomii"", ""overtonesinging"", ""viralmusic"", ""berklee"", ""erklen""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:3"", ""core_term_hits:1"", ""negative_term_hits:1""]",False,[],False,,,
CS-31-05,31,蒙古族呼麦,0.5802,0.6227,7316647629813828896,https://www.tiktok.com/@throatsinger/video/7316647629813828896,4300000,khoomei,throatsinger,Repost! Sorry! From last years Christmas. Hope you still like it 😁. Next year I’ll make a fun new one! #fyp #mongol #mongolian #mongolia #jinglebells #holidays #christmas #throatsinging #mongolianthroatsinging #overtonesinging #worldmusic #christmassong #khoomei ,"[""fyp"", ""mongol"", ""mongolian"", ""mongolia"", ""jinglebells"", ""holidays"", ""christmas"", ""throatsinging"", ""mongolianthroatsinging"", ""overtonesinging"", ""worldmusic"", ""christmassong"", ""khoomei""]","[""fyp"", ""mongol"", ""mongolian"", ""mongolia"", ""jinglebells"", ""holidays"", ""christmas"", ""throatsinging"", ""mongolianthroatsinging"", ""overtonesinging"", ""worldmusic"", ""christmassong"", ""khoomei""]",likely_relevant,5,"[""source_hit"", ""project_term_hits:4"", ""core_term_hits:1"", ""negative_term_hits:1""]",False,[],False,,,
