id,project_id,project,video_id,web_url,machine_quality_label,stats_play_count,title,channelTitle,source_term
13:-gxbP_4BAuA,13,中国木活字印刷术,-gxbP_4BAuA,https://www.youtube.com/watch?v=-gxbP_4BAuA,likely_relevant,33,CHINA' S MOVABLE TYPE PRINTING,francisca agyemang,Chinese wooden movable type
13:-tFRBq5GU88,13,中国木活字印刷术,-tFRBq5GU88,https://www.youtube.com/watch?v=-tFRBq5GU88,low_relevance,629,Four Great Inventions,Audiopedia,Chinese wooden movable type
13:-wWL7lHgE_M,13,中国木活字印刷术,-wWL7lHgE_M,https://www.youtube.com/watch?v=-wWL7lHgE_M,likely_relevant,58,The Fascinating Evolution of Printing Technology,Plutus,Chinese wooden movable type
13:-z_hvevo3Ug,13,中国木活字印刷术,-z_hvevo3Ug,https://www.youtube.com/watch?v=-z_hvevo3Ug,needs_review,845,Spot t Type Movable Type Copper Mold WT 004 1,"DGSF MACHINERY TECH CO.,LTD",Chinese wooden movable type
13:07BCRf-wjGU,13,中国木活字印刷术,07BCRf-wjGU,https://www.youtube.com/watch?v=07BCRf-wjGU,likely_relevant,151,#machinetools,"solutionofmachine8244, ",Chinese wooden movable type
13:098b8fiXvdc,13,中国木活字印刷术,098b8fiXvdc,https://www.youtube.com/watch?v=098b8fiXvdc,likely_relevant,171,#hax #cncmachine,"solutionofmachine8244, ",Chinese wooden movable type
13:0Mk7odaRuFg,13,中国木活字印刷术,0Mk7odaRuFg,https://www.youtube.com/watch?v=0Mk7odaRuFg,low_relevance,24816019,Pedal-less Bicycle?!,Insighclopedia,Chinese wooden movable type
13:0WzRgpRpcNA,13,中国木活字印刷术,0WzRgpRpcNA,https://www.youtube.com/watch?v=0WzRgpRpcNA,likely_relevant,202,Gutenberg's movable type printing press produces the Bible - Wiki Videos,Wiki Videos,Chinese wooden movable type
13:0hF442MZXLU,13,中国木活字印刷术,0hF442MZXLU,https://www.youtube.com/watch?v=0hF442MZXLU,likely_relevant,785,大開眼界！全自動蜂箱制造全程 #蜂箱制造 #工厂流水线 #自动化 #生产流程 #蜜蜂,製造狂,Chinese wooden movable type
13:0iCVFAa-DpU,13,中国木活字印刷术,0iCVFAa-DpU,https://www.youtube.com/watch?v=0iCVFAa-DpU,needs_review,819,Trail of Ten Thousand Bones S1 & S2 | MULTI SUB,Anime Vault Official,Chinese wooden movable type
13:0kxBz7SLgpk,13,中国木活字印刷术,0kxBz7SLgpk,https://www.youtube.com/watch?v=0kxBz7SLgpk,likely_relevant,236,【Immersive Assembly】Wooden mechanical movable type printing toys. The most useful episode of toys!!,FuYii_Mumo,Chinese wooden movable type
13:0vj5PR8alOE,13,中国木活字印刷术,0vj5PR8alOE,https://www.youtube.com/watch?v=0vj5PR8alOE,likely_relevant,54,Print and Modern Culture Explained SimplyPrint Culture in Easy English | Full Chapter,Abaca Academy,Chinese wooden movable type
13:11wryXYPvCQ,13,中国木活字印刷术,11wryXYPvCQ,https://www.youtube.com/watch?v=11wryXYPvCQ,needs_review,79833,How the Gutenberg Bible Was Made,1 Minute Print,Chinese wooden movable type
13:15bWmak1Crw,13,中国木活字印刷术,15bWmak1Crw,https://www.youtube.com/watch?v=15bWmak1Crw,likely_relevant,157,"February 21, 2026, Chinese Woodblock print",SDSU Chinese Cultural Center,Chinese wooden movable type
13:1GFGvpQaMgg,13,中国木活字印刷术,1GFGvpQaMgg,https://www.youtube.com/watch?v=1GFGvpQaMgg,likely_relevant,38,Amazing! A book is printed out by a lot of lead,Yuan Xu,Chinese wooden movable type
13:1MR8XpqMBd4,13,中国木活字印刷术,1MR8XpqMBd4,https://www.youtube.com/watch?v=1MR8XpqMBd4,likely_relevant,80,#chuck #cncmachine,"solutionofmachine8244, ",Chinese wooden movable type
13:1R2pxkxwb24,13,中国木活字印刷术,1R2pxkxwb24,https://www.youtube.com/watch?v=1R2pxkxwb24,needs_review,116,The Printing Press 1000 - 1500 AD,Katrina,Chinese wooden movable type
13:1UkBLC8a1Bc,13,中国木活字印刷术,1UkBLC8a1Bc,https://www.youtube.com/watch?v=1UkBLC8a1Bc,needs_review,662819,The 4 Great Inventions that changed the world (China),Simple History,Chinese wooden movable type
13:1UpwOtb7yh0,13,中国木活字印刷术,1UpwOtb7yh0,https://www.youtube.com/watch?v=1UpwOtb7yh0,likely_relevant,22601,China traditional printing_movable type printing technology,WarsonPrinting,Chinese wooden movable type
