video_url,project,reviewer,manual_relevance,manual_noise_type,content_language,audience_language,notes,play_count
https://www.tiktok.com/@elestepariosiberiano/video/7276116594856660257,格萨(斯)尔史诗传统,B,不相关,主题无关,英文,英文为主,,25400000
https://www.tiktok.com/@kobitaraniroy4/video/7433817087862164743,热贡艺术,B,不相关,蹭热门标签,其他,混合,,1800000
https://www.tiktok.com/@blessing_tibetanthangka/video/7491338711561440554,热贡艺术,B,不相关,蹭热门标签,其他,英文为主,,622100
https://www.tiktok.com/@tibetanjewelry23/video/7515629845875789086,热贡艺术,B,不相关,蹭热门标签,其他,英文为主,,479700
https://www.tiktok.com/@pandaaa5669/video/7588039309542935863,热贡艺术,B,不相关,主题无关,中文,混合,,1500000
https://www.tiktok.com/@angelinazhq/video/7636548841428307207,热贡艺术,B,不相关,主题无关,英文,几乎没评论,,656000
https://www.tiktok.com/@rehome.life/video/7589872995724774670,热贡艺术,B,不相关,主题无关,英文,几乎没评论,,119400000
https://www.tiktok.com/@us_queen1/video/7610445641541504286,热贡艺术,B,不相关,主题无关,其他,英文为主,,54500000
https://www.tiktok.com/@ariathome/video/7611331444446645534,热贡艺术,B,不相关,蹭热门标签,英文,英文为主,,11300000
https://www.tiktok.com/@tangyuxi0801/video/7521170337237568798,热贡艺术,B,不相关,主题无关,中文,评论中文为主,,9800000
https://www.tiktok.com/@kgarnebro/video/7612092179355389215,热贡艺术,B,不相关,主题无关,英文,英文为主,,8600000
https://www.tiktok.com/@kairareo/video/7581817395174477074,藏戏,B,不相关,主题无关,其他,几乎没评论,,906900
https://www.tiktok.com/@sisanbaniya/video/7512446896267447559,藏戏,B,不相关,蹭热门标签,其他,几乎没评论,,644600
https://www.tiktok.com/@tklhamo/video/7159477903598701867,藏戏,B,不相关,主题无关,中文,几乎没评论,,241300
https://www.tiktok.com/@pizza.55555/video/7496793604933946679,藏戏,B,不相关,主题无关,中文,评论中文为主,,28200000
https://www.tiktok.com/@kingmedia1111/video/7215858068993723690,藏戏,B,不相关,主题无关,中文,评论中文为主,,12500000
https://www.tiktok.com/@laranaa8/video/7618553054584917261,藏戏,B,不相关,主题无关,其他,英文为主,,29500000
https://www.tiktok.com/@brian.liu1/video/7637255776473517319,藏戏,B,不相关,主题无关,其他,英文为主,,24500000
https://www.tiktok.com/@gangchentibet07/video/7616750284177460487,藏戏,B,不相关,蹭热门标签,其他,混合,,19600000
https://www.tiktok.com/@selfwho0/video/7495059041585089835,藏戏,B,不相关,主题无关,其他,英文为主,,18900000
https://www.tiktok.com/@shuyam612/video/7189191441602678018,藏戏,B,不相关,主题无关,中文,英文为主,,14100000
https://www.tiktok.com/@new.farmer.amin5/video/7648814634497051922,花儿,B,不相关,蹭热门标签,其他,几乎没评论,,243200
https://www.tiktok.com/@changfqstgp/video/7548795078542691614,花儿,B,不相关,蹭热门标签,其他,几乎没评论,,50100
https://www.tiktok.com/@jonsom43/video/7538697919268916494,花儿,B,不相关,主题无关,中文,几乎没评论,,16800
https://www.tiktok.com/@sweendyran/video/7601485781860977940,花儿,B,不相关,蹭热门标签,中文,英文为主,,11000000
https://www.tiktok.com/@jc.lyrics21/video/7647530495391075605,花儿,B,不相关,主题无关,中文,评论中文为主,,3100000
https://www.tiktok.com/@bob485518/video/7587698504424852749,花儿,B,不相关,主题无关,混合,混合,,20700000
https://www.tiktok.com/@mdrublesorkar/video/7579591635835637012,花儿,B,不相关,主题无关,其他,混合,,18600000
https://www.tiktok.com/@jamillydaianne0/video/7609770093681200405,花儿,B,不相关,主题无关,其他,英文为主,,17400000
https://www.tiktok.com/@baby_bear19999/video/7506532829501639944,花儿,B,不相关,主题无关,英文,英文为主,,16900000
https://www.tiktok.com/@m.alassaff/video/7632584830433103112,花儿,B,不相关,蹭热门标签,其他,英文为主,,12900000
https://www.tiktok.com/@ibanathimpungose/video/7534687344331410694,中国朝鲜族农乐舞,B,不相关,主题无关,英文,英文为主,,2100000
https://www.tiktok.com/@fair.magda.613/video/7625516664125132045,中国朝鲜族农乐舞,B,不相关,主题无关,英文,几乎没评论,,746400
https://www.tiktok.com/@fair.magda.613/video/7487113834541550894,中国朝鲜族农乐舞,B,不相关,主题无关,英文,英文为主,,542800
https://www.tiktok.com/@china.boys3/video/7626023699652545813,中国朝鲜族农乐舞,B,不相关,蹭热门标签,英文,英文为主,,2900000
https://www.tiktok.com/@vsc9988/video/7610083871886986503,中国朝鲜族农乐舞,B,不相关,主题无关,中文,混合,,2500000
https://www.tiktok.com/@shunlinainai2/video/7625496809963621654,中国朝鲜族农乐舞,B,不相关,,,,打不开,64800000
https://www.tiktok.com/@yuyuauas33b/video/7626997558400863502,中国朝鲜族农乐舞,B,不相关,蹭热门标签,中文,英文为主,,43800000
https://www.tiktok.com/@taisan_8/video/7267146683253820680,中国朝鲜族农乐舞,B,不相关,蹭热门标签,其他,混合,,18100000
https://www.tiktok.com/@dailymail/video/7436049985042468138,中国朝鲜族农乐舞,B,不相关,主题无关,英文,英文为主,,7400000
https://www.tiktok.com/@nopeknovian/video/7372567979604708614,中国朝鲜族农乐舞,B,不相关,,,,打不开,7000000
https://www.tiktok.com/@sendeculture/video/7022520943431929089,中国篆刻,B,不相关,蹭热门标签,英文,英文为主,,35600000
https://www.tiktok.com/@yssealcutting/video/7415966584918871338,中国篆刻,B,不相关,蹭热门标签,英文,英文为主,,7100000
https://www.tiktok.com/@999crafts/video/7133508616191053098,中国篆刻,B,不相关,蹭热门标签,中文,几乎没评论,,6100000
