project_id,project_name,list_type,category,unique_videos,likely_relevant,needs_review,low_relevance,likely_ratio,needs_review_ratio,low_relevance_ratio,avg_quality_score,negative_hit_videos,negative_hit_ratio,weak_generic_source_videos,weak_generic_source_ratio,three_page_lower_bound_videos,three_page_lower_bound_ratio,collection_state_counts,total_play_likely,total_play_needs_review,total_play_low_relevance,max_play_likely,max_play_needs_review,max_play_low_relevance,top_quality_reasons,top_negative_terms
14,京剧,RL,表演艺术(戏曲),417,397,13,7,0.952,0.0312,0.0168,5.935,0,0.0,0,0.0,0,0.0,"{""ceiling_capped_500"": 417}",14147314,1321342,4528643,2952390,1046198,4508294,"{""china_context"": 319, ""cjk_text"": 165, ""core_term_hits:1"": 244, ""core_term_hits:2"": 101, ""project_term_hits:1"": 244, ""project_term_hits:2"": 101, ""project_term_hits:3"": 37, ""source_hit"": 390}",{}
15,中医针灸,RL,传统医药,398,243,141,14,0.6106,0.3543,0.0352,4.804,0,0.0,0,0.0,0,0.0,"{""exhausted"": 398}",5917045,980537,40703,1464268,306579,17443,"{""china_context"": 309, ""core_term_hits:1"": 143, ""core_term_hits:2"": 161, ""core_term_hits:3"": 56, ""project_term_hits:1"": 143, ""project_term_hits:2"": 161, ""project_term_hits:3"": 56, ""source_hit"": 120}",{}
24,宣纸传统制作技艺,RL,传统手工艺,420,179,212,29,0.4262,0.5048,0.069,3.79,0,0.0,0,0.0,0,0.0,"{""ceiling_capped_500"": 420}",26093428,15058229,10307333,10852273,9249788,8575619,"{""china_context"": 349, ""cjk_text"": 81, ""core_term_hits:1"": 203, ""core_term_hits:2"": 115, ""core_term_hits:3"": 41, ""project_term_hits:1"": 203, ""project_term_hits:2"": 115, ""project_term_hits:3"": 41}",{}
31,蒙古族呼麦,RL,表演艺术(音乐),718,354,115,249,0.493,0.1602,0.3468,3.153,455,0.6337,0,0.0,0,0.0,"{""ceiling_capped_500"": 409, ""exhausted"": 309}",66374156,69476721,296156183,39450861,38681680,124078553,"{""china_context"": 496, ""cjk_text"": 132, ""core_term_hits:1"": 347, ""core_term_hits:2"": 104, ""negative_term_hits:1"": 296, ""project_term_hits:2"": 242, ""project_term_hits:3"": 132, ""source_hit"": 368}","{""alash"": 11, ""huunhuurtu"": 30, ""mongolia"": 358, ""mongoliansinger"": 5, ""tuva"": 172, ""tuvan"": 136, ""ulaanbaatar"": 4}"
38,端午节,RL,节庆民俗,835,787,31,17,0.9425,0.0371,0.0204,7.103,0,0.0,0,0.0,0,0.0,"{""ceiling_capped_500"": 835}",80969598,3231747,486597,21383816,902623,424961,"{""china_context"": 660, ""cjk_text"": 244, ""core_term_hits:2"": 293, ""core_term_hits:3"": 215, ""project_term_hits:1"": 155, ""project_term_hits:2"": 293, ""project_term_hits:3"": 215, ""source_hit"": 772}",{}
