project_id,project_name,search_keyword,current_stop_reason,current_pages_fetched,current_collected_count,current_next_page_token_present,youtube_stock_qualitative_state,youtube_totalResults_estimate_weak_signal,youtube_likely_reach_tier,youtube_likely_reach_score,youtube_project_likely_total_view,youtube_project_likely_unique_videos,youtube_project_raw_total_view,youtube_project_low_relevance_play_ratio,youtube_raw_to_likely_tier_delta,youtube_reach_noise_risk,tiktok_quadrant,tiktok_quadrant_label,tiktok_review_priority,tiktok_likely_reach_tier,tiktok_stock_band_qualitative,tiktok_scale_tier_qualitative,tiktok_manual_priority_rows,cross_platform_stock_compare_note,term_raw_unique_videos,term_likely_unique_videos,term_needs_review_unique_videos,term_low_unique_videos,term_likely_video_ratio,term_low_video_ratio,term_raw_total_view,term_likely_total_view,term_low_total_view,term_likely_play_ratio,term_low_play_ratio,term_likely_max_view,term_raw_max_view,term_top_likely_url,term_top_raw_url,term_label_counts,deepcrawl_priority,priority_rank,recommended_action,recommended_page_plan,recommended_max_pages,deepcrawl_reason,candidate_rank
34,中国书法,Chinese calligraphy,sample_limit_reached,3,132,True,youtube_three_page_lower_bound_unresolved,964210,high_20_40pct_reach,6.177671,25339037,126,29394125,0.0311,1,low,stock_high__reach_high,真·规模化出海候选,P3_normal,top_20pct_reach,stock_high,head,0,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,132,126,4,2,0.9545,0.0152,29394125,25339037,915607,0.862,0.0311,4068005,4068005,https://www.youtube.com/watch?v=u4NymUSXVBI,https://www.youtube.com/watch?v=u4NymUSXVBI,"{'likely_relevant': 126, 'needs_review': 4, 'low_relevance': 2}",P0_youtube_high_reach_deepcrawl_now,10,deepcrawl_to_10_pages,to_10_pages,10,YouTube 自身 likely 高触达且噪声低；不必等待 TikTok 人工回流，可先补到 10 页验证触达上限。,11
25,粤剧,Cantonese opera,sample_limit_reached,3,148,True,youtube_three_page_lower_bound_unresolved,654308,high_20_40pct_reach,6.134087,25293544,139,32538978,0.1312,1,low,stock_low__reach_low,低存量低触达：近乎隐形候选,P2_noise_risk,lower_70_90pct_reach,stock_low,near_invisible,0,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,148,139,5,4,0.9392,0.027,32538978,25293544,4268121,0.7773,0.1312,4951886,4951886,https://www.youtube.com/watch?v=5rgNRdbPdtg,https://www.youtube.com/watch?v=5rgNRdbPdtg,"{'likely_relevant': 139, 'low_relevance': 4, 'needs_review': 5}",P0_youtube_high_reach_deepcrawl_now,10,deepcrawl_to_10_pages,to_10_pages,10,YouTube 自身 likely 高触达且噪声低；不必等待 TikTok 人工回流，可先补到 10 页验证触达上限。,12
35,中国篆刻,Chinese seal engraving,sample_limit_reached,3,150,True,youtube_three_page_lower_bound_unresolved,65155,high_20_40pct_reach,5.76151,38579585,227,44404227,0.1124,1,low,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,middle_40_70pct_reach,stock_mid,long_tail,10,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,150,148,2,0,0.9867,0.0,21127247,20620221,0,0.976,0.0,14664327,14664327,https://www.youtube.com/watch?v=Ykv0Ulx6kNM,https://www.youtube.com/watch?v=Ykv0Ulx6kNM,"{'likely_relevant': 148, 'needs_review': 2}",P0_youtube_high_reach_deepcrawl_now,10,deepcrawl_to_10_pages,to_10_pages,10,YouTube 自身 likely 高触达且噪声低；不必等待 TikTok 人工回流，可先补到 10 页验证触达上限。,13
17,中国木拱桥传统营造技艺,Chinese wooden arch bridge,sample_limit_reached,3,149,True,youtube_three_page_lower_bound_unresolved,224522,top_20pct_reach,6.777266,60349388,18,641783067,0.9059,0,high,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,lower_70_90pct_reach,stock_low,near_invisible,10,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,149,18,3,128,0.1208,0.8591,641783067,60349388,581412994,0.094,0.9059,59392613,112248667,https://www.youtube.com/watch?v=PYkgEf3eWqA,https://www.youtube.com/watch?v=UIQUQHGEKz0,"{'low_relevance': 128, 'likely_relevant': 18, 'needs_review': 3}",P0_wait_tiktok_manual_for_deepcrawl,20,wait_tiktok_manual_then_decide,defer,10,TikTok 关键象限/人工核查项目；先列为候选，等 321 条人工表回流后决定是否补到 10 页。,14
31,蒙古族呼麦,Khoomei,sample_limit_reached,3,141,True,youtube_three_page_lower_bound_unresolved,62321,high_20_40pct_reach,6.259811,48078106,117,363381289,0.7415,0,high,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,top_20pct_reach,stock_low,near_invisible,9,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,141,88,24,29,0.6241,0.2057,121584088,47515297,61875728,0.3908,0.5089,39369379,39369379,https://www.youtube.com/watch?v=p_5yt5IX38I,https://www.youtube.com/watch?v=p_5yt5IX38I,"{'likely_relevant': 88, 'needs_review': 24, 'low_relevance': 29}",P0_wait_tiktok_manual_for_deepcrawl,20,wait_tiktok_manual_then_decide,defer,10,TikTok 关键象限/人工核查项目；先列为候选，等 321 条人工表回流后决定是否补到 10 页。,15
31,蒙古族呼麦,Khoomei China,sample_limit_reached,3,139,True,youtube_three_page_lower_bound_unresolved,20671,high_20_40pct_reach,6.259811,48078106,117,363381289,0.7415,0,high,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,top_20pct_reach,stock_low,near_invisible,9,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,139,28,36,75,0.2014,0.5396,182353291,39950316,99787351,0.2191,0.5472,39369379,39369379,https://www.youtube.com/watch?v=p_5yt5IX38I,https://www.youtube.com/watch?v=p_5yt5IX38I,"{'likely_relevant': 28, 'needs_review': 36, 'low_relevance': 75}",P0_wait_tiktok_manual_for_deepcrawl,20,wait_tiktok_manual_then_decide,defer,10,TikTok 关键象限/人工核查项目；先列为候选，等 321 条人工表回流后决定是否补到 10 页。,16
44,蒙古族长调民歌,Urtiin Duu,sample_limit_reached,3,125,True,youtube_three_page_lower_bound_unresolved,19150,top_20pct_reach,6.299374,30638803,102,603175977,0.8822,0,high,stock_low__reach_low,低存量低触达：近乎隐形候选,P0_noise_or_tier_drop,lower_70_90pct_reach,stock_low,near_invisible,10,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,125,57,7,61,0.456,0.488,336723123,24870667,296198411,0.0739,0.8796,12846783,41934121,https://www.youtube.com/watch?v=pR-CU9DKzz8,https://www.youtube.com/watch?v=0cQDizYOGeA,"{'likely_relevant': 57, 'needs_review': 7, 'low_relevance': 61}",P0_wait_tiktok_manual_for_deepcrawl,20,wait_tiktok_manual_then_decide,defer,10,TikTok 关键象限/人工核查项目；先列为候选，等 321 条人工表回流后决定是否补到 10 页。,17
40,中国雕版印刷技艺,Chinese block printing,sample_limit_reached,3,136,True,youtube_three_page_lower_bound_unresolved,812834,high_20_40pct_reach,6.111184,20339669,87,281752249,0.8193,0,high,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,middle_40_70pct_reach,stock_high,mid,10,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,136,48,49,39,0.3529,0.2868,276830152,20306404,230812657,0.0734,0.8338,12871284,141012259,https://www.youtube.com/watch?v=SG0MdDS2WI0,https://www.youtube.com/watch?v=XSrolys3uqo,"{'likely_relevant': 48, 'low_relevance': 39, 'needs_review': 49}",P0_wait_tiktok_manual_for_deepcrawl,20,wait_tiktok_manual_then_decide,defer,10,TikTok 关键象限/人工核查项目；先列为候选，等 321 条人工表回流后决定是否补到 10 页。,18
40,中国雕版印刷技艺,Chinese woodblock printing,sample_limit_reached,3,142,True,youtube_three_page_lower_bound_unresolved,23296,high_20_40pct_reach,6.111184,20339669,87,281752249,0.8193,0,high,stock_high__reach_low,高存量低触达：自产自销/虚假繁荣候选,P0_stock_high_reach_low,middle_40_70pct_reach,stock_high,mid,10,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,142,70,56,16,0.493,0.1127,92489283,20053074,59342823,0.2168,0.6416,12871284,51231790,https://www.youtube.com/watch?v=SG0MdDS2WI0,https://www.youtube.com/watch?v=I9QSaS0wX2Y,"{'likely_relevant': 70, 'needs_review': 56, 'low_relevance': 16}",P0_wait_tiktok_manual_for_deepcrawl,20,wait_tiktok_manual_then_decide,defer,10,TikTok 关键象限/人工核查项目；先列为候选，等 321 条人工表回流后决定是否补到 10 页。,19
14,京剧,Peking opera,sample_limit_reached,3,139,True,youtube_three_page_lower_bound_unresolved,540289,high_20_40pct_reach,5.943964,14971584,129,21659698,0.206,1,low,stock_low__reach_high,低存量高触达：小而精破圈候选,P1_low_stock_high_reach,top_20pct_reach,stock_mid,long_tail,9,qualitative_only: TikTok hashtag stock and YouTube collection state are not same units; do not compare numeric magnitude.,139,129,9,1,0.9281,0.0072,21659698,14971584,4462621,0.6912,0.206,2949809,4462621,https://www.youtube.com/watch?v=wzBDB-u1pRg,https://www.youtube.com/watch?v=EmHYhDXz-Zs,"{'likely_relevant': 129, 'needs_review': 9, 'low_relevance': 1}",P0_wait_tiktok_manual_for_deepcrawl,20,wait_tiktok_manual_then_decide,defer,10,TikTok 关键象限/人工核查项目；先列为候选，等 321 条人工表回流后决定是否补到 10 页。,20
