project_id,project_name,list_type,category,unique_videos,likely_relevant,needs_review,low_relevance,likely_ratio,needs_review_ratio,low_relevance_ratio,avg_quality_score,negative_hit_videos,negative_hit_ratio,weak_generic_source_videos,weak_generic_source_ratio,three_page_lower_bound_videos,three_page_lower_bound_ratio,collection_state_counts,total_play_likely,total_play_needs_review,total_play_low_relevance,max_play_likely,max_play_needs_review,max_play_low_relevance,top_quality_reasons,top_negative_terms
28,热贡艺术,RL,传统手工艺/宗教艺术,277,4,158,115,0.0144,0.5704,0.4152,1.899,142,0.5126,0,0.0,138,0.4982,"{""exhausted"": 139, ""sample_limit_reached"": 138}",10170,4526101,792788323,8875,2270954,273836318,"{""china_context"": 217, ""cjk_text"": 28, ""core_term_hits:1"": 136, ""core_term_hits:2"": 6, ""negative_term_hits:1"": 139, ""project_term_hits:1"": 136, ""project_term_hits:2"": 6, ""source_hit"": 138}","{""regongart"": 3, ""thangka"": 142}"
29,藏戏,RL,表演艺术(戏曲),144,119,5,20,0.8264,0.0347,0.1389,4.917,0,0.0,0,0.0,144,1.0,"{""sample_limit_reached"": 144}",2440978,14359099,87353672,1257052,14306685,44757513,"{""china_context"": 143, ""cjk_text"": 20, ""core_term_hits:1"": 96, ""core_term_hits:2"": 18, ""project_term_hits:1"": 96, ""project_term_hits:2"": 18, ""project_term_hits:3"": 9, ""source_hit"": 118}",{}
30,玛纳斯,RL,口头传统/史诗,139,20,42,77,0.1439,0.3022,0.554,1.878,14,0.1007,0,0.0,139,1.0,"{""sample_limit_reached"": 139}",113260,38077084,2631928828,101797,28716715,759069202,"{""china_context"": 97, ""cjk_text"": 4, ""core_term_hits:1"": 34, ""core_term_hits:2"": 30, ""negative_term_hits:1"": 14, ""project_term_hits:1"": 34, ""project_term_hits:2"": 30}","{""manasepic"": 14}"
31,蒙古族呼麦,RL,表演艺术(音乐),287,117,60,110,0.4077,0.2091,0.3833,2.714,225,0.784,0,0.0,203,0.7073,"{""exhausted"": 84, ""sample_limit_reached"": 203}",48078106,46100314,269202869,39369379,15270963,124010688,"{""china_context"": 235, ""core_term_hits:1"": 101, ""core_term_hits:2"": 57, ""negative_term_hits:1"": 125, ""negative_term_hits:3"": 56, ""project_term_hits:2"": 72, ""project_term_hits:3"": 57, ""source_hit"": 115}","{""alash"": 5, ""huunhuurtu"": 10, ""mongolia"": 180, ""mongoliansinger"": 2, ""tuva"": 106, ""tuvan"": 89, ""ulaanbaatar"": 2}"
32,花儿,RL,表演艺术(民歌),359,198,52,109,0.5515,0.1448,0.3036,4.095,0,0.0,0,0.0,359,1.0,"{""sample_limit_reached"": 359}",11329272,1488506,340023581,6317417,1447386,56091779,"{""china_context"": 304, ""cjk_text"": 169, ""core_term_hits:1"": 114, ""core_term_hits:2"": 103, ""project_term_hits:1"": 114, ""project_term_hits:2"": 103, ""project_term_hits:3"": 10, ""source_hit"": 154}",{}
33,中国朝鲜族农乐舞,RL,表演艺术(舞蹈),146,9,34,103,0.0616,0.2329,0.7055,1.452,0,0.0,0,0.0,146,1.0,"{""sample_limit_reached"": 146}",14930,63665,351422962,9293,19704,181466138,"{""china_context"": 118, ""cjk_text"": 24, ""core_term_hits:1"": 17, ""core_term_hits:2"": 5, ""project_term_hits:1"": 18, ""project_term_hits:2"": 5, ""project_term_hits:3"": 1, ""source_hit"": 5}",{}
34,中国书法,RL,传统手工艺/视觉艺术,132,126,4,2,0.9545,0.0303,0.0152,7.129,0,0.0,0,0.0,132,1.0,"{""sample_limit_reached"": 132}",25339037,3139481,915607,4068005,3065612,537963,"{""china_context"": 132, ""cjk_text"": 42, ""core_term_hits:2"": 106, ""core_term_hits:3"": 15, ""project_term_hits:1"": 6, ""project_term_hits:2"": 106, ""project_term_hits:3"": 15, ""source_hit"": 122}",{}
35,中国篆刻,RL,传统手工艺,251,227,15,9,0.9044,0.0598,0.0359,7.837,0,0.0,0,0.0,251,1.0,"{""sample_limit_reached"": 251}",38579585,833473,4991169,14664327,489460,4186846,"{""china_context"": 225, ""cjk_text"": 156, ""core_term_hits:1"": 53, ""core_term_hits:6"": 136, ""project_term_hits:1"": 53, ""project_term_hits:3"": 25, ""project_term_hits:6"": 136, ""source_hit"": 203}",{}
36,中国剪纸,RL,传统手工艺,268,265,2,1,0.9888,0.0075,0.0037,7.317,0,0.0,0,0.0,268,1.0,"{""sample_limit_reached"": 268}",12616955,13784,563,6478355,11628,563,"{""china_context"": 248, ""cjk_text"": 58, ""core_term_hits:1"": 82, ""core_term_hits:4"": 80, ""project_term_hits:1"": 82, ""project_term_hits:4"": 80, ""project_term_hits:5"": 53, ""source_hit"": 229}",{}
37,中国传统木结构建筑营造技艺,RL,传统手工艺/建筑,252,78,121,53,0.3095,0.4802,0.2103,3.278,0,0.0,0,0.0,252,1.0,"{""sample_limit_reached"": 252}",1787087,1716498,294919202,785708,238363,121921385,"{""china_context"": 247, ""cjk_text"": 15, ""core_term_hits:1"": 174, ""core_term_hits:2"": 16, ""project_term_hits:1"": 174, ""project_term_hits:2"": 16, ""project_term_hits:3"": 6, ""source_hit"": 62}",{}
38,端午节,RL,节庆民俗,257,237,16,4,0.9222,0.0623,0.0156,7.432,0,0.0,0,0.0,257,1.0,"{""sample_limit_reached"": 257}",56333109,2574567,19918035,21373698,893139,19493023,"{""china_context"": 223, ""cjk_text"": 65, ""core_term_hits:2"": 85, ""core_term_hits:3"": 74, ""project_term_hits:2"": 85, ""project_term_hits:3"": 74, ""project_term_hits:4"": 39, ""source_hit"": 234}",{}
39,妈祖信俗,RL,民俗信仰,140,130,3,7,0.9286,0.0214,0.05,5.6,0,0.0,0,0.0,140,1.0,"{""sample_limit_reached"": 140}",36066888,2833876,6590645,14689305,2814719,6412916,"{""china_context"": 117, ""cjk_text"": 48, ""core_term_hits:1"": 80, ""core_term_hits:2"": 49, ""project_term_hits:1"": 80, ""project_term_hits:2"": 49, ""project_term_hits:3"": 1, ""source_hit"": 129}",{}
40,中国雕版印刷技艺,RL,传统手工艺,216,87,87,42,0.4028,0.4028,0.1944,3.509,0,0.0,0,0.0,216,1.0,"{""sample_limit_reached"": 216}",20339669,30586002,230826578,12871284,12873947,141012259,"{""china_context"": 185, ""cjk_text"": 13, ""core_term_hits:1"": 89, ""core_term_hits:2"": 68, ""project_term_hits:1"": 89, ""project_term_hits:2"": 68, ""project_term_hits:3"": 11, ""source_hit"": 13}",{}
41,昆曲,RL,表演艺术(戏曲),140,137,2,1,0.9786,0.0143,0.0071,7.357,0,0.0,0,0.0,140,1.0,"{""sample_limit_reached"": 140}",3315499,82743,1745731,1188891,81921,1745731,"{""china_context"": 131, ""cjk_text"": 44, ""core_term_hits:2"": 104, ""core_term_hits:3"": 33, ""project_term_hits:1"": 2, ""project_term_hits:2"": 104, ""project_term_hits:3"": 33, ""source_hit"": 135}",{}
42,古琴艺术,RL,表演艺术(音乐),244,210,25,9,0.8607,0.1025,0.0369,6.332,0,0.0,0,0.0,244,1.0,"{""sample_limit_reached"": 244}",157280533,119615751,33947099,25407032,28695108,18187045,"{""china_context"": 229, ""cjk_text"": 136, ""core_term_hits:1"": 71, ""core_term_hits:2"": 107, ""project_term_hits:1"": 71, ""project_term_hits:2"": 107, ""project_term_hits:3"": 44, ""source_hit"": 195}",{}
43,新疆维吾尔木卡姆艺术,RL,表演艺术(音乐),137,72,63,2,0.5255,0.4599,0.0146,5.095,0,0.0,0,0.0,137,1.0,"{""sample_limit_reached"": 137}",686528,444167,2505,116799,35655,1296,"{""china_context"": 136, ""cjk_text"": 5, ""core_term_hits:1"": 63, ""core_term_hits:2"": 69, ""project_term_hits:1"": 63, ""project_term_hits:2"": 69, ""project_term_hits:3"": 3, ""source_hit"": 70}",{}
44,蒙古族长调民歌,RL,表演艺术(音乐),238,102,30,106,0.4286,0.1261,0.4454,3.471,0,0.0,0,0.0,117,0.4916,"{""exhausted"": 121, ""sample_limit_reached"": 117}",30638803,40398643,532138531,12846783,14306685,67531191,"{""china_context"": 183, ""core_term_hits:1"": 47, ""core_term_hits:2"": 34, ""core_term_hits:3"": 38, ""project_term_hits:1"": 47, ""project_term_hits:2"": 34, ""project_term_hits:3"": 38, ""source_hit"": 100}",{}
