project_id,project_name,project_name_en,list_type,category,label_likely_relevant_rows,label_needs_review_rows,label_low_relevance_rows,youtube_collection_state_counts,youtube_three_page_lower_bound_rows,raw_unique_videos,raw_total_play,raw_median_play,raw_mean_play,raw_p75_play,raw_p90_play,raw_p95_play,raw_p99_play,raw_max_play,raw_videos_ge_1k,raw_videos_ge_10k,raw_videos_ge_100k,raw_videos_ge_1m,raw_zero_play_videos,raw_total_digg,raw_total_comment,raw_total_share,raw_max_digg,raw_max_comment,raw_max_share,raw_top_video_id,raw_top_video_url,raw_top_video_desc,likely_unique_videos,likely_total_play,likely_median_play,likely_mean_play,likely_p75_play,likely_p90_play,likely_p95_play,likely_p99_play,likely_max_play,likely_videos_ge_1k,likely_videos_ge_10k,likely_videos_ge_100k,likely_videos_ge_1m,likely_zero_play_videos,likely_total_digg,likely_total_comment,likely_total_share,likely_max_digg,likely_max_comment,likely_max_share,likely_top_video_id,likely_top_video_url,likely_top_video_desc,inclusive_unique_videos,inclusive_total_play,inclusive_median_play,inclusive_mean_play,inclusive_p75_play,inclusive_p90_play,inclusive_p95_play,inclusive_p99_play,inclusive_max_play,inclusive_videos_ge_1k,inclusive_videos_ge_10k,inclusive_videos_ge_100k,inclusive_videos_ge_1m,inclusive_zero_play_videos,inclusive_total_digg,inclusive_total_comment,inclusive_total_share,inclusive_max_digg,inclusive_max_comment,inclusive_max_share,inclusive_top_video_id,inclusive_top_video_url,inclusive_top_video_desc,low_unique_videos,low_total_play,low_median_play,low_mean_play,low_p75_play,low_p90_play,low_p95_play,low_p99_play,low_max_play,low_videos_ge_1k,low_videos_ge_10k,low_videos_ge_100k,low_videos_ge_1m,low_zero_play_videos,low_total_digg,low_total_comment,low_total_share,low_max_digg,low_max_comment,low_max_share,low_top_video_id,low_top_video_url,low_top_video_desc,likely_video_ratio,inclusive_video_ratio,low_relevance_video_ratio,likely_play_ratio,inclusive_play_ratio,low_relevance_play_ratio,reach_noise_risk,raw_reach_tier,raw_reach_score,likely_reach_tier,likely_reach_score,inclusive_reach_tier,inclusive_reach_score,reach_tier_changed_after_relevance_filter,raw_to_likely_tier_delta
12,中国水密隔舱福船制造技艺,Watertight-bulkhead technology of Chinese junks,USL,传统手工艺,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
13,中国木活字印刷术,Wooden movable-type printing of China,USL,传统手工艺,196,141,135,"{""ceiling_capped_500"": 472}",0,472,3230525048,789,6844333,59934,6202280,25951403,152761817,603512600,218,142,110,88,4,66361334,267212,0,13533013,29549,0,V9PK9c6vI1Y,https://www.youtube.com/watch?v=V9PK9c6vI1Y,foil magnet experiment — ,196,66936888,225,341515,1132,8686,43286,1941772,51231800,52,18,6,3,4,1132744,9227,0,578117,6474,0,I9QSaS0wX2Y,https://www.youtube.com/watch?v=I9QSaS0wX2Y,"Ancient Chinese Movable Type Printing | Cultural Heritage, Education & Tourism Documentary — Ancient Chinese Movable Type Printing | Cultural Heritage, Education & Tourism Documentary

📝 Description:
Discover the timeles",337,555706852,423,1648982,2407,30879,124265,65056268,148587870,114,46,19,12,4,13701893,41426,0,6428448,14607,0,uXweIKQaO2Y,https://www.youtube.com/watch?v=uXweIKQaO2Y,Making a letterpress print for our friends at @azra-games using a tabletop printing press — Did you know that there's a video game studio just two blocks away from the Sacramento History Museum in Old Sacramento?Azra Gam,135,2674818196,1394544,19813468,8143548,32997640,86962733,309591997,603512600,104,96,91,76,0,52659441,225786,0,13533013,29549,0,V9PK9c6vI1Y,https://www.youtube.com/watch?v=V9PK9c6vI1Y,foil magnet experiment — ,0.4153,0.714,0.286,0.0207,0.172,0.828,high,top_20pct_reach,7.883871,lower_70_90pct_reach,5.988126,middle_40_70pct_reach,6.608219,True,-3
14,京剧,Peking opera,RL,表演艺术(戏曲),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
15,中医针灸,Acupuncture and moxibustion of traditional Chinese medicine,RL,传统医药,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
16,黎族传统纺染织绣技艺,"Traditional Li textile techniques: spinning, dyeing, weaving and embroidering",USL,传统手工艺,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
17,中国木拱桥传统营造技艺,Traditional design and practices for building Chinese wooden arch bridges,USL,传统手工艺/建筑,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
18,羌年,Qiang New Year festival,USL,节庆民俗,0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
19,侗族大歌,Grand song of the Dong ethnic group,RL,表演艺术(音乐),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
20,西安鼓乐,Xi'an wind and percussion ensemble,RL,表演艺术(音乐),0,0,0,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,low,no_videos,0.0,no_videos,0.0,no_videos,0.0,False,0
21,中国蚕桑丝织技艺,Sericulture and silk craftsmanship of China,RL,传统手工艺,153,89,22,"{""exhausted"": 264}",0,264,328035486,991,1242559,20151,390020,1652212,32958273,128533351,131,79,42,17,0,8600911,78849,0,3351898,22437,0,87duJEtkLs4,https://www.youtube.com/watch?v=87duJEtkLs4,"Amazing Silk Preparation Complete Process Using Silkworm #shorts — SILK PEPERATION: Khargram, Murshidabad, West Bengal (India)

Hope You Guyz Enjoyed This Video Make Sure You Subscribe Our YouTube Channel Thank You.

Su",153,241296974,1072,1577104,13354,316642,738695,46477605,128533351,79,45,21,6,0,6179679,57862,0,3351898,22437,0,87duJEtkLs4,https://www.youtube.com/watch?v=87duJEtkLs4,"Amazing Silk Preparation Complete Process Using Silkworm #shorts — SILK PEPERATION: Khargram, Murshidabad, West Bengal (India)

Hope You Guyz Enjoyed This Video Make Sure You Subscribe Our YouTube Channel Thank You.

Su",242,312305323,902,1290518,12411,329702,1031077,33276561,128533351,117,69,36,14,0,8284029,76499,0,3351898,22437,0,87duJEtkLs4,https://www.youtube.com/watch?v=87duJEtkLs4,"Amazing Silk Preparation Complete Process Using Silkworm #shorts — SILK PEPERATION: Khargram, Murshidabad, West Bengal (India)

Hope You Guyz Enjoyed This Video Make Sure You Subscribe Our YouTube Channel Thank You.

Su",22,15730163,6526,715007,163065,1873337,4275781,7031588,7731973,14,10,6,3,0,316882,2350,0,163472,1236,0,y69OO0QuSu0,https://www.youtube.com/watch?v=y69OO0QuSu0,"Silk manufacturing explained #factsintelugu 😱పట్టు పురుగులు😱 #amazingfacts #truefacts #shorts — Please subscribe to my channel for more interesting and amazing videos.

#truefacts #truefactstelugu #telugutruefacts

#shor",0.5795,0.9167,0.0833,0.7356,0.952,0.048,low,high_20_40pct_reach,6.942045,high_20_40pct_reach,6.743902,high_20_40pct_reach,6.856378,False,0
